"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"9 - At some point in the lifetime LOG ASSN","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","89 - LEGITIMATE SKIP Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","0","2","0"
"97 - REFUSED","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"97 - REFUSED","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"Overall","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"97 - REFUSED","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female, White, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"Overall","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0.25","0.2651","0.019","0.851","0.25","0.2651","0.019","0.851","1","0","N/A","N/A","0","1","0"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0.25","0.2651","0.019","0.851","0.25","0.2651","0.019","0.851","1","0","N/A","N/A","0","1","0"
"97 - REFUSED","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - Male, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"97 - REFUSED","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"98 - MISSING","4 - Female, Black, Not Hisp","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"Overall","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"1 - Within the past 30 days","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"97 - REFUSED","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"1 - Within the past 30 days","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"97 - REFUSED","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"98 - MISSING","6 - Female, Hispanic","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0"
"Overall","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0.75","0.2651","0.149","0.981","0.75","0.2651","0.149","0.981","1","0","N/A","N/A","0","1","0"
"1 - Within the past 30 days","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0.75","0.2651","0.149","0.981","0.75","0.2651","0.149","0.981","1","0","N/A","N/A","0","1","0"
"97 - REFUSED","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","7 - Male or Female, Other Races","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","94 - DON T KNOW","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","434000","1364","20000"
"1 - Within the past 30 days","Overall","94 - DON T KNOW","0.005","0.0027","0.002","0.015","1","0","N/A","N/A","0.005","0.0027","0.002","0.015","2000","5","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","94 - DON T KNOW","0.001","0.0005","0","0.003","1","0","N/A","N/A","0.001","0.0005","0","0.003","0","2","0"
"3 - More than 12 months ago","Overall","94 - DON T KNOW","0.009","0.0031","0.005","0.018","1","0","N/A","N/A","0.009","0.0031","0.005","0.018","4000","12","1000"
"8 - At some point in the past 12 months LOG ASSN","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","94 - DON T KNOW","0.001","0.0008","0","0.005","1","0","N/A","N/A","0.001","0.0008","0","0.005","1000","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.97","0.0061","0.955","0.98","1","0","N/A","N/A","0.97","0.0061","0.955","0.98","421000","1319","20000"
"97 - REFUSED","Overall","94 - DON T KNOW","0.002","0.0011","0.001","0.006","1","0","N/A","N/A","0.002","0.0011","0.001","0.006","1000","5","0"
"98 - MISSING","Overall","94 - DON T KNOW","0.012","0.0035","0.007","0.022","1","0","N/A","N/A","0.012","0.0035","0.007","0.022","5000","19","2000"
"Overall","1 - Male, White, Not Hisp","94 - DON T KNOW","0.095","0.0116","0.074","0.121","0.095","0.0116","0.074","0.121","1","0","N/A","N/A","41000","146","5000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","94 - DON T KNOW","0.004","0.0027","0.001","0.016","0.407","0.1988","0.116","0.782","0.039","0.0279","0.009","0.153","2000","3","1000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","94 - DON T KNOW","0.09","0.0113","0.069","0.115","0.092","0.0117","0.072","0.119","0.949","0.0291","0.847","0.984","39000","139","5000"
"97 - REFUSED","1 - Male, White, Not Hisp","94 - DON T KNOW","0","0.0001","0","0.001","0.052","0.0566","0.005","0.355","0.001","0.0012","0","0.009","0","1","0"
"98 - MISSING","1 - Male, White, Not Hisp","94 - DON T KNOW","0.001","0.0008","0","0.005","0.085","0.0684","0.016","0.352","0.011","0.0087","0.002","0.053","0","3","0"
"Overall","2 - Female, White, Not Hisp","94 - DON T KNOW","0.169","0.0145","0.141","0.2","0.169","0.0145","0.141","0.2","1","0","N/A","N/A","73000","229","8000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","94 - DON T KNOW","0.002","0.0019","0","0.012","0.45","0.2839","0.076","0.891","0.013","0.011","0.002","0.069","1000","2","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","94 - DON T KNOW","0","0.0003","0","0.002","0.45","0.3501","0.046","0.933","0.002","0.0017","0","0.012","0","1","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","94 - DON T KNOW","0.002","0.0013","0.001","0.007","0.261","0.1445","0.073","0.614","0.014","0.0074","0.005","0.04","1000","4","1000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","94 - DON T KNOW","0.162","0.0142","0.135","0.192","0.167","0.0146","0.139","0.198","0.959","0.0155","0.914","0.981","70000","219","7000"
"97 - REFUSED","2 - Female, White, Not Hisp","94 - DON T KNOW","0.001","0.0006","0","0.005","0.311","0.254","0.04","0.83","0.004","0.0039","0","0.029","0","1","0"
"98 - MISSING","2 - Female, White, Not Hisp","94 - DON T KNOW","0.001","0.0011","0","0.007","0.117","0.0977","0.019","0.47","0.008","0.0067","0.002","0.041","1000","2","0"
"Overall","3 - Male, Black, Not Hisp","94 - DON T KNOW","0.057","0.0084","0.042","0.077","0.057","0.0084","0.042","0.077","1","0","N/A","N/A","25000","81","4000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0.0002","0","0.002","0.024","0.025","0.003","0.172","0.004","0.0039","0.001","0.029","0","1","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","94 - DON T KNOW","0.054","0.0085","0.039","0.074","0.055","0.0088","0.04","0.076","0.938","0.0307","0.84","0.977","23000","74","4000"
"97 - REFUSED","3 - Male, Black, Not Hisp","94 - DON T KNOW","0","0.0002","0","0.001","0.089","0.0939","0.009","0.5","0.003","0.0032","0","0.024","0","1","0"
"98 - MISSING","3 - Male, Black, Not Hisp","94 - DON T KNOW","0.003","0.0017","0.001","0.009","0.259","0.1369","0.077","0.594","0.055","0.0304","0.018","0.158","1000","5","1000"
"Overall","4 - Female, Black, Not Hisp","94 - DON T KNOW","0.091","0.0119","0.07","0.118","0.091","0.0119","0.07","0.118","1","0","N/A","N/A","39000","126","5000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","94 - DON T KNOW","0.09","0.0119","0.069","0.117","0.093","0.0122","0.071","0.121","0.992","0.005","0.973","0.997","39000","123","5000"
"97 - REFUSED","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0.0003","0","0.002","0.148","0.1479","0.016","0.646","0.003","0.0034","0","0.025","0","1","0"
"98 - MISSING","4 - Female, Black, Not Hisp","94 - DON T KNOW","0","0.0003","0","0.002","0.038","0.028","0.008","0.156","0.005","0.0036","0.001","0.021","0","2","0"
"Overall","5 - Male, Hispanic","94 - DON T KNOW","0.104","0.0132","0.08","0.134","0.104","0.0132","0.08","0.134","1","0","N/A","N/A","45000","160","6000"
"1 - Within the past 30 days","5 - Male, Hispanic","94 - DON T KNOW","0.002","0.0019","0.001","0.012","0.516","0.2833","0.099","0.912","0.024","0.0183","0.005","0.106","1000","2","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
